繁體	简体	吴拼	分类	页码
花佬兒子	花佬儿子	huo lau ng tsy	称谓	34
賊勒兒子	贼勒儿子	zaq laq ng tsy	称谓	34
臭灰蛋	臭灰蛋	chieu huei dae	称谓	34
灰孫子	灰孙子	huei sen tsy	称谓	34
老酒甏	老酒甏	lau cieu ban	称谓	34
老酒包	老酒包	lau cieu pau	称谓	34
沙泥地	沙泥地	so gni di	称谓	34
亮眼沙地	亮眼沙地	lian ngae so di	称谓	34
惡蚊蟲	恶蚊虫	oq men dzon	称谓	34
悶桶老虎	闷桶老虎	mhen don lau fu	称谓	34
白糖砒霜	白糖砒霜	baq daon phi saon	称谓	34
僂勾師	偻勾师	leu keu sy	称谓	34
造孽朋	造孽朋	zau gniq ban	称谓	34
造孽精	造孽精	zau gniq cin	称谓	34
造孽頭朋	造孽头朋	zau gniq deu ban	称谓	34
綠殼	绿壳	loq khoq	称谓	34
和消頭	和消头	ghou shiau deu	称谓	34
賴臭皮	赖臭皮	la chieu bi	称谓	34
賴屙皮	赖屙皮	la ou bi	称谓	34
出頭椽子	出头椽子	tshyuq deu dzoe tsy	称谓	34
老貼蛋	老贴蛋	lau thaq dae	称谓	34
老樸屍	老朴尸	lau phoq sy	称谓	34
浮屍	浮尸	vei sy	称谓	34
浮屍	浮尸	veu sy	称谓	34
死屍	死尸	shi sy	称谓	34
百搭	百搭	paq taq	称谓	34
樣有份	样有份	yan yeu ven	称谓	35
三腳貓	三脚猫	sae ciaq mae	称谓	35
寶貨	宝货	pau hou	称谓	35
買主	买主	ma tsyu	称谓	35
瞎眼買主	瞎眼买主	haq ngae ma tsyu	称谓	35
老先生	老先生	lau shi san	称谓	35
好好先生	好好先生	hau hau shi san	称谓	35
爛好人	烂好人	lae hau gnin	称谓	35
上落先生	上落先生	zaon loq shi san	称谓	35
認屁和尚	认屁和尚	gnin phi ghou zaon	称谓	35
跟屁屙蟲	跟屁屙虫	ken phi ou dzon	称谓	35
隨伯嚭	随伯嚭	zei paq phi	称谓	35
跟喫屁	跟吃屁	ken chioq phi	称谓	35
萬寶全書	万宝全书	vae pau dzoe syu	称谓	35
燥地鴨	燥地鸭	sau di ae	称谓	35
輪轉太婆	轮转太婆	len tsoe tha bou	称谓	35
橋頭三叔公	桥头三叔公	jiau deu sae soq kon	称谓	35
橋頭老三	桥头老三	jiau deu lau sae	称谓	35
在行三叔婆	在行三叔婆	dze ghaon sae soq bou	称谓	35
回湯豆腐乾	回汤豆腐干	wei thaon deu vu ki	称谓	35
飯鑊頭蒼蠅	饭镬头苍蝇	vae ghoq deu tshaon in	称谓	35
嘸腳蟹	呒脚蟹	mh ciaq ha	称谓	35
沒腳蟹	没脚蟹	mh ciaq ha	称谓	35
鐵絲揢籮	铁丝揢箩	thiq sy khaq lou	称谓	36
大襟布衫	大襟布衫	dou cin pu sae	称谓	36
嘸腳活猻	呒脚活狲	mh ciaq waq sen	称谓	36
鑽倉老鼠	钻仓老鼠	tsoe tshaon lau tsy	称谓	36
落弶老鼠	落弶老鼠	loq jian lau tsy	称谓	36
𤖼腳賴𪓿	𤖼脚赖𪓿	phaq ciaq la sy	称谓	36
蓬頭獅	蓬头狮	bon deu sy	称谓	36
蓬頭活鬼	蓬头活鬼	bon deu waq ciu	称谓	36
死藤南瓜	死藤南瓜	shi den nei kuo	称谓	36
差人	差人	tsha gnin	称谓	36
差狗	差狗	tsha keu	称谓	36
阿狗阿貓	阿狗阿猫	aq keu aq mhau	称谓	36
阿狗阿貓	阿狗阿猫	aq keu aq mae	称谓	36
好日黃狗	好日黄狗	hau gniq waon keu	称谓	36
好日黃狗	好日黄狗	hau gniq waon ki	称谓	36
生病黃魚	生病黄鱼	san bin waon ng	称谓	36
蔫樣黃	蔫样黄	i yan waon	称谓	36
喫口	吃口	chioq kheu	称谓	36
拖鼻頭	拖鼻头	thou baq deu	称谓	36
哭作包	哭作包	khoq tsoq pau	称谓	36
⿸尸咋屙樸	⿸尸咋屙朴	dza ou phoq	称谓	36
⿸尸咋尿樸	⿸尸咋尿朴	dza syu phoq	称谓	36
褪褲阿大	褪裤阿大	then khu aq dou	称谓	36
借八利	借八利	cia paq li	称谓	36
四隻眼	四只眼	sy tsaq ngae	称谓	37
亮眼瞎子	亮眼瞎子	lian ngae haq tsy	称谓	37
亮眼瞎	亮眼瞎	lian ngae haq	称谓	37
亮眼先生	亮眼先生	lian ngae shi san	称谓	37
䶕牙	𫜨牙	bo ngo	称谓	37
彈嘴	弹嘴	dae tsyu	称谓	37
脫懶	脱懒	thaq lae	称谓	37
長梗	长梗	jian kuan	称谓	37
長腳梗	长脚梗	jian ciaq kuan	称谓	37
矮子桶	矮子桶	a tsy don	称谓	37
發䨣泥螺	发䨣泥螺	faq phoq gni lou	称谓	37
大胖嘵豬	大胖哓猪	dou phaon gniau tsyu	称谓	37
壯胖嘵豬	壮胖哓猪	tsaon phaon gniau tsyu	称谓	37
柴油桶	柴油桶	za yeu don	称谓	37
大阿福	大阿福	dou aq foq	称谓	37
瘦骨材	瘦骨材	seu kuaq ze	称谓	37
𢺵頭鵝	𢺵头鹅	ji deu ngou	称谓	37
𢺵頭	𢺵头	ji deu	称谓	37
笡頭	笡头	chia deu	称谓	37
黑炭	黑炭	haq thae	称谓	37
黃頭貓	黄头猫	waon deu mae	称谓	37
僵果佬	僵果佬	cian kou lau	称谓	37
僵果梅	僵果梅	cian kou mei	称谓	37
僵果梅梅	僵果梅梅	cian kou mei mei	称谓	37
半雌雄	半雌雄	pun tshy yon	称谓	37
出膊丁	出膊丁	tshyuq poq tin	称谓	37
瞎眼	瞎眼	haq ngae	称谓	37
環眼	环眼	wae ngae	称谓	37
吊眼	吊眼	tiau ngae	称谓	37
瞜眼	䁖眼	lheu ngae	称谓	37
鬥𥉻眼	斗𥉻眼	teu chi ngae	称谓	37
鬥雞眼	斗鸡眼	teu ci ngae	称谓	37
白眼	白眼	baq ngae	称谓	38
斜白眼	斜白眼	zhia baq ngae	称谓	38
爛眼	烂眼	lae ngae	称谓	38
多眨眼	多眨眼	tou saq ngae	称谓	38
眯覷眼	眯觑眼	mhi tshyu ngae	称谓	38
眯𥉻眼	眯𥉻眼	mhi chi ngae	称谓	38
花覷眼	花觑眼	huo tshyu ngae	称谓	38
缺嘴	缺嘴	chiuq tsyu	称谓	38
阿缺弄	阿缺弄	aq chiuq lon	称谓	38
缺嘴弄	缺嘴弄	chiuq tsyu lon	称谓	38
歪嘴	歪嘴	hua tsyu	称谓	38
缺牙弄	缺牙弄	chiuq ngo lon	称谓	38
吃舌頭	吃舌头	kaq zhiq deu	称谓	38
吃嘴	吃嘴	kaq tsyu	称谓	38
啞子	哑子	o tsy	称谓	38
聾𦗭	聋𦗭	lon ban	称谓	38
沙胡嚨	沙胡咙	so wu lon	称谓	38
沙胡嚨	沙胡咙	so u lon	称谓	38
麻皮	麻皮	mo bi	称谓	38
茶手	茶手	dzo shieu	称谓	38
拐腳	拐脚	kua cian	称谓	38
阿拐	阿拐	aq kua	称谓	38
蹺腳	跷脚	chiau ciaq	称谓	38
踮腳	踮脚	ti ciaq	称谓	38
我儂	我侬	ngo nou	称谓	38
我儂	我侬	ngo lou	称谓	38
我	我	ngo4	称谓	38
阿拉	阿拉	aq laq	称谓	38
儂	侬	nou6	称谓	38
俉	俉	ng6	称谓	38
俉儂	俉侬	ng nou	称谓	39
俉倷	俉倷	ng naq	称谓	39
其	其	ji6	称谓	39
其儂	其侬	ji nou	称谓	39
其拉	其拉	ji laq	称谓	39
其拉	其拉	jiq laq	称谓	39
啥人	啥人	soq gnin	称谓	39
啥人	啥人	sou gnin	称谓	39
啥人	啥人	so gnin	称谓	39
孰儂	孰侬	zoq nou	称谓	39
啥人家	啥人家	soq gnin ko	称谓	39
啥人家	啥人家	sou gnin ko	称谓	39
啥人家	啥人家	so gnin ko	称谓	39
自家	自家	zhi ko	称谓	39
別人家	别人家	biq gnin ko	称谓	39
多	多	tou1	称谓	39
有多	有多	yeu tou	称谓	39
還有	还有	wa yeu	称谓	39
別樣告	别样告	biq yan kau	称谓	39
別樣告	别样告	biq gnian kau	称谓	39
別樣	别样	biq yan	称谓	39
別樣	别样	biq gnian	称谓	39
樣色	样色	yan saq	称谓	39
該	该	kiq7	称谓	39
該樣	该样	kiq yan	称谓	39
該眼	该眼	kiq ngae	称谓	39
該𡍲	该𡍲	kiq taq	称谓	39
該底	该底	kiq ti	称谓	39
該裏	该里	kiq li	称谓	39
該頭	该头	kiq deu	称谓	39
該面	该面	kiq mi	称谓	39
該廂	该厢	kiq shian	称谓	39
該邊	该边	kiq pi	称谓	39
